2025-02-13 05:50:16 status half-configured base-files:amd64 11.1+deb11u6
2025-02-13 05:50:16 status unpacked base-files:amd64 11.1+deb11u6
2025-02-13 05:50:16 status half-installed base-files:amd64 11.1+deb11u6
2025-02-13 05:50:16 status unpacked base-files:amd64 11.1+deb11u6
2025-02-13 05:50:16 install libdebconfclient0:amd64 <none> 0.260
2025-02-13 05:50:16 status half-installed libdebconfclient0:amd64 0.260
2025-02-13 05:50:16 status unpacked libdebconfclient0:amd64 0.260
2025-02-13 05:50:16 upgrade base-passwd:amd64 3.5.51 3.5.51
2025-02-13 05:50:16 status half-configured base-passwd:amd64 3.5.51
2025-02-13 05:50:16 status unpacked base-passwd:amd64 3.5.51
2025-02-13 05:50:16 status half-installed base-passwd:amd64 3.5.51
2025-02-13 05:50:16 status unpacked base-passwd:amd64 3.5.51
2025-02-13 05:50:16 install debianutils:amd64 <none> 4.11.2
2025-02-13 05:50:16 status half-installed debianutils:amd64 4.11.2
2025-02-13 05:50:16 status unpacked debianutils:amd64 4.11.2
2025-02-13 05:50:16 install bash:amd64 <none> 5.1-2+deb11u1
2025-02-13 05:50:16 status half-installed bash:amd64 5.1-2+deb11u1
2025-02-13 05:50:16 status unpacked bash:amd64 5.1-2+deb11u1
2025-02-13 05:50:16 install bsdutils:amd64 <none> 1:2.36.1-8+deb11u1
2025-02-13 05:50:16 status half-installed bsdutils:amd64 1:2.36.1-8+deb11u1
2025-02-13 05:50:16 status unpacked bsdutils:amd64 1:2.36.1-8+deb11u1
2025-02-13 05:50:16 install libattr1:amd64 <none> 1:2.4.48-6
2025-02-13 05:50:16 status half-installed libattr1:amd64 1:2.4.48-6
2025-02-13 05:50:16 status unpacked libattr1:amd64 1:2.4.48-6
2025-02-13 05:50:16 install coreutils:amd64 <none> 8.32-4+b1
2025-02-13 05:50:16 status half-installed coreutils:amd64 8.32-4+b1
2025-02-13 05:50:17 status unpacked coreutils:amd64 8.32-4+b1
2025-02-13 05:50:17 install dash:amd64 <none> 0.5.11+git20200708+dd9ef66-5
2025-02-13 05:50:17 status half-installed dash:amd64 0.5.11+git20200708+dd9ef66-5
